X Y Z
-0.200000 -0.800000 0.506617
-0.200000 -0.700000 0.588605
-0.200000 -0.600000 0.670320
-0.200000 -0.500000 0.748264
-0.200000 -0.400000 0.818731
-0.200000 -0.300000 0.878095
-0.200000 -0.200000 0.923116
-0.200000 -0.100000 0.951229
-0.200000 0.000000 0.960789
-0.200000 0.100000 0.951229
-0.200000 0.200000 0.923116
-0.200000 0.300000 0.878095
-0.200000 0.400000 0.818731
-0.200000 0.500000 0.748264
-0.200000 0.600000 0.670320
-0.200000 0.700000 0.588605
-0.200000 0.800000 0.506617
-0.200000 0.900000 0.427415
-0.200000 1.000000 0.353455

-0.100000 -1.000000 0.364219
-0.100000 -0.900000 0.440432
-0.100000 -0.800000 0.522046
-0.100000 -0.700000 0.606531
-0.100000 -0.600000 0.690734
-0.100000 -0.500000 0.771052
-0.100000 -0.400000 0.843665
-0.100000 -0.300000 0.904837
-0.100000 -0.200000 0.951229
-0.100000 -0.100000 0.980199
-0.100000 0.000000 0.990050
-0.100000 0.100000 0.980199
-0.100000 0.200000 0.951229
-0.100000 0.300000 0.904837
-0.100000 0.400000 0.843665
-0.100000 0.500000 0.771052
-0.100000 0.600000 0.690734
-0.100000 0.700000 0.606531
-0.100000 0.800000 0.522046
-0.100000 0.900000 0.440432
-0.100000 1.000000 0.364219

0.000000 -1.000000 0.367879
0.000000 -0.900000 0.444858
0.000000 -0.800000 0.527292
0.000000 -0.700000 0.612626
0.000000 -0.600000 0.697676
0.000000 -0.500000 0.778801
0.000000 -0.400000 0.852144
0.000000 -0.300000 0.913931
0.000000 -0.200000 0.960789
0.000000 -0.100000 0.990050
0.000000 0.000000 1.000000
0.000000 0.100000 0.990050
0.000000 0.200000 0.960789
0.000000 0.300000 0.913931
0.000000 0.400000 0.852144
0.000000 0.500000 0.778801
0.000000 0.600000 0.697676
0.000000 0.700000 0.612626
0.000000 0.800000 0.527292
0.000000 0.900000 0.444858
0.000000 1.000000 0.367879

0.100000 -1.000000 0.364219
0.100000 -0.900000 0.440432
0.100000 -0.800000 0.522046
0.100000 -0.700000 0.606531
0.100000 -0.600000 0.690734
0.100000 -0.500000 0.771052
0.100000 -0.400000 0.843665
0.100000 -0.300000 0.904837
0.100000 -0.200000 0.951229
0.100000 -0.100000 0.980199
0.100000 0.000000 0.990050
0.100000 0.100000 0.980199
0.100000 0.200000 0.951229
0.100000 0.300000 0.904837
0.100000 0.400000 0.843665
0.100000 0.500000 0.771052
0.100000 0.600000 0.690734
0.100000 0.700000 0.606531
0.100000 0.800000 0.522046
0.100000 0.900000 0.440432
0.100000 1.000000 0.364219

0.200000 -1.000000 0.353455
0.200000 -0.900000 0.427415
0.200000 -0.800000 0.506617
0.200000 -0.700000 0.588605
0.200000 -0.600000 0.670320
0.200000 -0.500000 0.748264
0.200000 -0.400000 0.818731
0.200000 -0.300000 0.878095
0.200000 -0.200000 0.923116
0.200000 -0.100000 0.951229
0.200000 0.000000 0.960789
0.200000 0.100000 0.951229
0.200000 0.200000 0.923116
0.200000 0.300000 0.878095
0.200000 0.400000 0.818731
0.200000 0.500000 0.748264
0.200000 0.600000 0.670320
0.200000 0.700000 0.588605
0.200000 0.800000 0.506617
0.200000 0.900000 0.427415
0.200000 1.000000 0.353455

0.300000 -1.000000 0.336216
0.300000 -0.900000 0.406570
0.300000 -0.800000 0.481909
0.300000 -0.700000 0.559898
0.300000 -0.600000 0.637628
0.300000 -0.500000 0.711770
0.300000 -0.400000 0.778801
0.300000 -0.300000 0.835270
0.300000 -0.200000 0.878095
0.300000 -0.100000 0.904837
0.300000 0.000000 0.913931
0.300000 0.100000 0.904837
0.300000 0.200000 0.878095
0.300000 0.300000 0.835270
0.300000 0.400000 0.778801
0.300000 0.500000 0.711770
0.300000 0.600000 0.637628
0.300000 0.700000 0.559898
0.300000 0.800000 0.481909
0.300000 0.900000 0.406570
0.300000 1.000000 0.336216

0.400000 -1.000000 0.313486
0.400000 -0.900000 0.379083
0.400000 -0.800000 0.449329
0.400000 -0.700000 0.522046
0.400000 -0.600000 0.594521
0.400000 -0.500000 0.663650
0.400000 -0.400000 0.726149
0.400000 -0.300000 0.778801
0.400000 -0.200000 0.818731
0.400000 -0.100000 0.843665
0.400000 0.000000 0.852144
0.400000 0.100000 0.843665
0.400000 0.200000 0.818731
0.400000 0.300000 0.778801
0.400000 0.400000 0.726149
0.400000 0.500000 0.663650
0.400000 0.600000 0.594521
0.400000 0.700000 0.522046
0.400000 0.800000 0.449329
0.400000 0.900000 0.379083
0.400000 1.000000 0.313486

0.500000 -1.000000 0.286505
0.500000 -0.900000 0.346456
0.500000 -0.800000 0.410656
0.500000 -0.700000 0.477114
0.500000 -0.600000 0.543351
0.500000 -0.500000 0.606531
0.500000 -0.400000 0.663650
0.500000 -0.300000 0.711770
0.500000 -0.200000 0.748264
0.500000 -0.100000 0.771052
0.500000 0.000000 0.778801
0.500000 0.100000 0.771052
0.500000 0.200000 0.748264
0.500000 0.300000 0.711770
0.500000 0.400000 0.663650
0.500000 0.500000 0.606531
0.500000 0.600000 0.543351
0.500000 0.700000 0.477114
0.500000 0.800000 0.410656
0.500000 0.900000 0.346456
0.500000 1.000000 0.286505

0.600000 -1.000000 0.256661
0.600000 -0.900000 0.310367
0.600000 -0.800000 0.367879
0.600000 -0.700000 0.427415
0.600000 -0.600000 0.486752
0.600000 -0.500000 0.543351
0.600000 -0.400000 0.594521
0.600000 -0.300000 0.637628
0.600000 -0.200000 0.670320
0.600000 -0.100000 0.690734
0.600000 0.000000 0.697676
0.600000 0.100000 0.690734
0.600000 0.200000 0.670320
0.600000 0.300000 0.637628
0.600000 0.400000 0.594521
0.600000 0.500000 0.543351
0.600000 0.600000 0.486752
0.600000 0.700000 0.427415
0.600000 0.800000 0.367879
0.600000 0.900000 0.310367
0.600000 1.000000 0.256661

0.700000 -1.000000 0.225373
0.700000 -0.900000 0.272532
0.700000 -0.800000 0.323033
0.700000 -0.700000 0.375311
0.700000 -0.600000 0.427415
0.700000 -0.500000 0.477114
0.700000 -0.400000 0.522046
0.700000 -0.300000 0.559898
0.700000 -0.200000 0.588605
0.700000 -0.100000 0.606531
0.700000 0.000000 0.612626
0.700000 0.100000 0.606531
0.700000 0.200000 0.588605
0.700000 0.300000 0.559898
0.700000 0.400000 0.522046
0.700000 0.500000 0.477114
0.700000 0.600000 0.427415
0.700000 0.700000 0.375311
0.700000 0.800000 0.323033
0.700000 0.900000 0.272532
0.700000 1.000000 0.225373

0.800000 -1.000000 0.193980
0.800000 -0.900000 0.234570
0.800000 -0.800000 0.278037
0.800000 -0.700000 0.323033
0.800000 -0.600000 0.367879
0.800000 -0.500000 0.410656
0.800000 -0.400000 0.449329
0.800000 -0.300000 0.481909
0.800000 -0.200000 0.506617
0.800000 -0.100000 0.522046
0.800000 0.000000 0.527292
0.800000 0.100000 0.522046
0.800000 0.200000 0.506617
0.800000 0.300000 0.481909
0.800000 0.400000 0.449329
0.800000 0.500000 0.410656
0.800000 0.600000 0.367879
0.800000 0.700000 0.323033
0.800000 0.800000 0.278037
0.800000 0.900000 0.234570
0.800000 1.000000 0.193980

0.900000 -1.000000 0.163654
0.900000 -0.900000 0.197899
0.900000 -0.800000 0.234570
0.900000 -0.700000 0.272532
0.900000 -0.600000 0.310367
0.900000 -0.500000 0.346456
0.900000 -0.400000 0.379083
0.900000 -0.300000 0.406570
0.900000 -0.200000 0.427415
0.900000 -0.100000 0.440432
0.900000 0.000000 0.444858
0.900000 0.100000 0.440432
0.900000 0.200000 0.427415
0.900000 0.300000 0.406570
0.900000 0.400000 0.379083
0.900000 0.500000 0.346456
0.900000 0.600000 0.310367
0.900000 0.700000 0.272532
0.900000 0.800000 0.234570
0.900000 0.900000 0.197899
0.900000 1.000000 0.163654

1.000000 -1.000000 0.135335
1.000000 -0.900000 0.163654
1.000000 -0.800000 0.193980
1.000000 -0.700000 0.225373
1.000000 -0.600000 0.256661
1.000000 -0.500000 0.286505
1.000000 -0.400000 0.313486
1.000000 -0.300000 0.336216
1.000000 -0.200000 0.353455
1.000000 -0.100000 0.364219
1.000000 0.000000 0.367879
1.000000 0.100000 0.364219
1.000000 0.200000 0.353455
1.000000 0.300000 0.336216
1.000000 0.400000 0.313486
1.000000 0.500000 0.286505
1.000000 0.600000 0.256661
1.000000 0.700000 0.225373
1.000000 0.800000 0.193980
1.000000 0.900000 0.163654
1.000000 1.000000 0.135335

